Identifier,Name,ArXiV,Wikipedia,Wikidata,WordWindow,type
F,force,-,9,2,3,global
k,constant,2,-,-,-,global
x,displacement,-,-,-,1,global
" \vec F = -k \vec x, ",Hooke's law,-,-,-,-,global
theta,velocity,-,-,-,1,global
mu,damping,-,-,-,1,global
Gamma,force,-,-,-,1,global
R,torque,-,-,-,1,global
G,voltage,-,-,-,1,global
m,mass,1,3,2,7,global
a,acceleration,-,-,4,-,global
d,differential equation,-,7,-,-,global
t,time,1,3,4,-,global
A,constant,7,-,-,-,global
omega,frequency,3,-,-,-,global
varphi,phase,-,-,-,-,global
f,frequency,-,-,1,8,global
T,period,-,-,2,9,global
zeta,ratio,-,-,-,1,global
c,speed of light,-,1,2,-,global
lambda,decay,-,-,-,2,global
